,,,,,,,,,,Month,,,,,,,,,,,,
SpeciesName,LengthRange,SpeciesGroup,Gender,LengthCategory,Fate,Beach,GearStatus,GearName,Area,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Grand Total
Australian Hb Dolphin,Non-shark,Mammal,Unknown,Non-shark,Dead,Trinity Beach,Not Active,Trinity Beach Net 4,Cairns,,,,,,,,,,,1,,1
Barracuda,Non-shark,Other,Unknown,Non-shark,Dead,Horseshoe Bay,Active,Horseshoe Bay Drum 33,Townsville,,,,,,,,,,,1,,1
Blacktip Reef Whaler,0-1m,Shark,Female,< 2m,Dead,Clifton Beach,Active,Clifton Beach Drum 19,Cairns,,,,,,,,,,,,1,1
Blacktip Reef Whaler,0-1m,Shark,Female,< 2m,Dead,Clifton Beach,Active,Clifton Beach Drum 20,Cairns,,,,,,,,,,,,1,1
Blacktip Reef Whaler,0-1m,Shark,Female,< 2m,Dead,Clifton Beach,Active Total,,,,,,,,,,,,,,2,2
Blacktip Reef Whaler,0-1m,Shark,Female,< 2m,Dead,Neilson Park,Active,Neilson Park Drum 3,Bundaberg,1,,,,,,,,,,,,1
Blacktip Reef Whaler,0-1m,Shark,Female,< 2m,Dead,Palm Cove,Active,Palm Cove Drum 11,Cairns,,,,,1,,,,,,,,1
Blacktip Reef Whaler,0-1m,Shark,Female,< 2m,Dead,Tannum Sands,Active,Tannum Sands Drum 8,Gladstone,,,,1,,,,,,,,,1
Blacktip Reef Whaler,0-1m,Shark,Female,< 2m,Dead,Trinity Beach,Active,Trinity Beach Drum 25,Cairns,,,,,,,,,,,1,,1
Blacktip Reef Whaler,0-1m,Shark,Female,< 2m,Dead Total,,,,,1,,,1,1,,,,,,1,2,6
Blacktip Reef Whaler,0-1m,Shark,Male,< 2m,Alive,Ellis Beach,Active,Ellis Beach Drum 1,Cairns,,,,,,,1,,,,,,1
Blacktip Reef Whaler,0-1m,Shark,Male,< 2m,Dead,Clifton Beach,Active,Clifton Beach Drum 19,Cairns,1,,,,,,,,,,,,1
Blacktip Reef Whaler,0-1m,Shark,Male,< 2m,Dead,Ellis Beach,Active,Ellis Beach Drum 2,Cairns,,,,,,,,,,,,1,1
Blacktip Reef Whaler,0-1m,Shark,Male,< 2m,Dead,Holloways Beach,Active,Holloways Beach Drum 35,Cairns,,,,,,1,,,,,,,1
Blacktip Reef Whaler,0-1m,Shark,Male,< 2m,Dead,Tannum Sands,Active,Tannum Sands Drum 12,Gladstone,,,,,1,,,,,,,,1
Blacktip Reef Whaler,0-1m,Shark,Male,< 2m,Dead,Trinity Beach,Active,Trinity Beach Drum 23,Cairns,,,,,,,,,1,,,,1
Blacktip Reef Whaler,0-1m,Shark,Male,< 2m,Dead Total,,,,,1,,,,1,1,,,1,,,1,5
Blacktip Reef Whaler,0-1m,Shark,Male,< 2m Total,,,,,,1,,,,1,1,1,,1,,,1,6
Blacktip Reef Whaler,0-1m,Shark Total,,,,,,,,2,,,1,2,1,1,,1,,1,3,12
Blacktip Reef Whaler,1-2m,Shark,Female,< 2m,Dead,Holloways Beach,Active,Holloways Beach Drum 36,Cairns,,,,,,,,,,,,1,1
Blacktip Reef Whaler,1-2m,Shark,Female,< 2m,Dead,Horseshoe Bay,Active,Horseshoe Bay Drum 41,Townsville,,,1,,,,,,,,,,1
Blacktip Reef Whaler,1-2m,Shark,Female,< 2m,Dead,Nelly Bay,Active,Nelly Bay Drum 13,Townsville,,,,,1,,,,,,,,1
Blacktip Reef Whaler,1-2m,Shark,Female,< 2m,Dead,Picnic Bay,Active,Picnic Bay Drum 1,Townsville,,,,,,1,,,,,,,1
Blacktip Reef Whaler,1-2m,Shark,Female,< 2m,Dead,Picnic Bay,Active,Picnic Bay Drum 5,Townsville,1,,,,,,,,,,,,1
Blacktip Reef Whaler,1-2m,Shark,Female,< 2m,Dead,Picnic Bay,Active Total,,,1,,,,,1,,,,,,,2
Blacktip Reef Whaler,1-2m,Shark,Female,< 2m,Dead,Tannum Sands,Active,Tannum Sands Drum 12,Gladstone,,2,1,,,,,,,,,,3
Blacktip Reef Whaler,1-2m,Shark,Female,< 2m,Dead,Tannum Sands,Active,Tannum Sands Drum 2,Gladstone,,,,,,,,,,,,1,1
Blacktip Reef Whaler,1-2m,Shark,Female,< 2m,Dead,Tannum Sands,Active,Tannum Sands Drum 3,Gladstone,,,,,,,,,,1,,,1
Blacktip Reef Whaler,1-2m,Shark,Female,< 2m,Dead,Tannum Sands,Active,Tannum Sands Drum 5,Gladstone,2,,,1,,,,,,,,,3
Blacktip Reef Whaler,1-2m,Shark,Female,< 2m,Dead,Tannum Sands,Active,Tannum Sands Drum 7,Gladstone,,,,,,,,,,1,,,1
Blacktip Reef Whaler,1-2m,Shark,Female,< 2m,Dead,Tannum Sands,Active,Tannum Sands Drum 9,Gladstone,,1,,,,,,,,,,,1
Blacktip Reef Whaler,1-2m,Shark,Female,< 2m,Dead,Tannum Sands,Active Total,,,2,3,1,1,,,,,,2,,1,10
Blacktip Reef Whaler,1-2m,Shark,Female,< 2m,Dead Total,,,,,3,3,2,1,1,1,,,,2,,2,15
Blacktip Reef Whaler,1-2m,Shark,Male,< 2m,Dead,Alma Bay,Active,Alma Bay Drum 18,Townsville,,,,,,,1,,,1,,,2
Blacktip Reef Whaler,1-2m,Shark,Male,< 2m,Dead,Alma Bay,Active,Alma Bay Drum 20,Townsville,,,,,,,,,,1,,,1
Blacktip Reef Whaler,1-2m,Shark,Male,< 2m,Dead,Alma Bay,Active Total,,,,,,,,,1,,,2,,,3
