,,,,,,,,,,Month,,,
SpeciesName,LengthCategory,SpeciesGroup,Gender,GearStatus,LengthRange,GearName,Beach,Area,Fate,Jan,Feb,Mar,Grand Total
Blacktip Reef Whaler,< 2m,Shark,Female,Active,1-2m,Blacks Beach Drum 20,Blacks Beach,Mackay,Dead,,,1,1
Bull Whaler,< 2m,Shark,Female,Active,0-1m,Cooee Bay Drum 12,Cooee Bay,Capricorn Coast,Dead,1,,,1
Bull Whaler,< 2m,Shark,Female,Active,0-1m,Cooee Bay Drum 16,Cooee Bay,Capricorn Coast,Dead,1,,,1
Bull Whaler,< 2m,Shark,Female,Active,0-1m,Emu Park Drum 51,Emu Park,Capricorn Coast,Dead,,,1,1
Bull Whaler,< 2m,Shark,Female,Active,0-1m,Fishermans Beach Drum 43,Fishermans Beach,Capricorn Coast,Dead,,,1,1
Bull Whaler,< 2m,Shark,Female,Active,0-1m,Fishermans Beach Drum 46,Fishermans Beach,Capricorn Coast,Dead,1,1,,2
Bull Whaler,< 2m,Shark,Female,Active,0-1m,Smart 606 Emu Park Drum 53,Smart 606 Emu Park,Capricorn Coast,Alive,1,,,1
Bull Whaler,< 2m,Shark,Female,Active,0-1m,Smart 606 Emu Park Drum 53,Smart 606 Emu Park,Capricorn Coast,Dead,1,,,1
Bull Whaler,< 2m,Shark,Female,Active,0-1m,Smart 606 Emu Park Drum 53,Smart 606 Emu Park,Capricorn Coast Total,,2,,,2
Bull Whaler,< 2m,Shark,Female,Active,0-1m,Tannum Sands Drum 2,Tannum Sands,Gladstone,Dead,1,,,1
Bull Whaler,< 2m,Shark,Female,Active,0-1m,Tannum Sands Drum 9,Tannum Sands,Gladstone,Dead,1,,,1
Bull Whaler,< 2m,Shark,Female,Active,0-1m Total,,,,,7,1,2,10
Bull Whaler,< 2m,Shark,Female,Active,1-2m,Eimeo Beach Drum 14,Eimeo Beach,Mackay,Dead,,1,,1
Bull Whaler,< 2m,Shark,Female,Active,1-2m,Farnborough Beach Drum 5,Farnborough Beach,Capricorn Coast,Dead,,1,,1
Bull Whaler,< 2m,Shark,Female,Active,1-2m,Fishermans Beach Drum 47,Fishermans Beach,Capricorn Coast,Alive,1,,,1
Bull Whaler,< 2m,Shark,Female,Active,1-2m,Kellys Beach Drum 12,Kellys Beach,Bundaberg,Dead,,1,,1
Bull Whaler,< 2m,Shark,Female,Active,1-2m,Rainbow Beach Net 1,Rainbow Beach,Rainbow Beach,Dead,,2,,2
Bull Whaler,< 2m,Shark,Female,Active,1-2m,Smart 577 Fishermans Beach Drum 47,Smart 577 Fishermans Beach,Capricorn Coast,Dead,,1,,1
Bull Whaler,< 2m,Shark,Female,Active,1-2m,Smart 606 Emu Park Drum 53,Smart 606 Emu Park,Capricorn Coast,Dead,1,,,1
Bull Whaler,< 2m,Shark,Female,Active,1-2m,Twin Waters Resort Drum 38,Twin Waters Resort,Sunshine Coast North,Dead,1,,,1
Bull Whaler,< 2m,Shark,Female,Active,1-2m Total,,,,,3,6,,9
Bull Whaler,< 2m,Shark,Female,Active Total,,,,,,10,7,2,19
Bull Whaler,< 2m,Shark,Male,Active,0-1m,Fishermans Beach Drum 44,Fishermans Beach,Capricorn Coast,Dead,1,,,1
Bull Whaler,< 2m,Shark,Male,Active,0-1m,Smart 520 Tanby Point Drum 38,Smart 520 Tanby Point,Capricorn Coast,Dead,,,1,1
Bull Whaler,< 2m,Shark,Male,Active,0-1m,Smart 576 Fishermans Beach Drum 45,Smart 576 Fishermans Beach,Capricorn Coast,Dead,1,,,1
Bull Whaler,< 2m,Shark,Male,Active,0-1m,Smart 577 Emu Park Drum 48,Smart 577 Emu Park,Capricorn Coast,Dead,,1,,1
Bull Whaler,< 2m,Shark,Male,Active,0-1m,Tannum Sands Drum 3,Tannum Sands,Gladstone,Dead,,,1,1
Bull Whaler,< 2m,Shark,Male,Active,0-1m Total,,,,,2,1,2,5
Bull Whaler,< 2m,Shark,Male,Active,1-2m,Tanby Point Drum 38,Tanby Point,Capricorn Coast,Dead,,1,,1
Bull Whaler,< 2m,Shark,Male,Active,1-2m,Tugun Beach Drum 24,Tugun Beach,Gold Coast,Alive,,1,,1
Bull Whaler,< 2m,Shark,Male,Active,1-2m Total,,,,,,2,,2
Bull Whaler,< 2m,Shark,Male,Active Total,,,,,,2,3,2,7
Bull Whaler,< 2m,Shark,Unknown,Active,0-1m,Fishermans Beach Drum 45,Fishermans Beach,Capricorn Coast,Dead,1,,,1
